epocaAtual;taxaErros;erroQuadrado;taxaAprendizadoAtual;idRede
1;0.7491103202846975;12936.812105875777;0.001;
2;0.6631079478054567;13131.556541438089;0.001;
3;0.6115065243179122;13558.289335426753;0.001;
4;0.5768090154211151;13749.29474788524;0.001;
5;0.541814946619217;13907.761795546667;0.001;
6;0.48013048635824435;14286.130823322252;0.001;
7;0.43119810201660735;14471.335376950054;0.001;
8;0.3947212336892052;14722.832368335245;0.001;
9;0.3760379596678529;14949.201016560128;0.001;
10;0.36180308422301305;15111.928789543821;0.001;
11;0.3526097271648873;15167.399383237553;0.001;
12;0.34104389086595494;15338.948625978064;0.001;
13;0.3223606168446026;15614.941821904875;0.001;
14;0.28647686832740216;15975.210901333383;0.001;
15;0.2636417556346382;16239.252495273084;0.001;
16;0.25207591933570583;16304.837571892962;0.001;
17;0.24406880189798338;16517.67161906565;0.001;
18;0.2313167259786477;16723.9021983107;0.001;
19;0.22212336892052195;16906.755937864407;0.001;
20;0.21322657176749704;17080.21480934404;0.001;
21;0.20877817319098457;17209.964894900302;0.001;
22;0.20551601423487545;17333.098214134596;0.001;
23;0.2013641755634638;17443.01180116377;0.001;
24;0.19750889679715303;17539.859817287714;0.001;
25;0.19483985765124556;17656.973361394408;0.001;
26;0.19187425860023724;17789.79686591264;0.001;
27;0.11803084223013048;18039.70832526584;0.001;
28;0.11654804270462633;18347.406990317188;0.001;
29;0.11150652431791222;18519.851528239305;0.001;
30;0.10705812574139977;18632.675464825596;0.001;
31;0.10290628706998814;18718.988673519136;0.001;
32;0.09905100830367734;18833.23808555736;0.001;
33;0.09608540925266904;18901.80698061371;0.001;
34;0.0937129300118624;18990.661789078607;0.001;
35;0.09311981020166074;19091.495723906326;0.001;
36;0.09311981020166074;19190.987719155877;0.001;
37;0.09104389086595492;19295.21933878291;0.001;
38;0.08956109134045077;19378.95759417443;0.001;
39;0.08926453143534994;19454.051395180377;0.001;
40;0.08778173190984578;19514.60934360035;0.001;
41;0.08659549228944247;19560.130515274624;0.001;
42;0.08629893238434164;19594.61816236768;0.001;
43;0.08481613285883749;19634.94367515622;0.001;
44;0.08451957295373666;19694.078319405147;0.001;
45;0.08451957295373666;19759.96415514289;0.001;
46;0.08451957295373666;19830.99514992062;0.001;
47;0.08333333333333333;19904.149551633185;0.001;
48;0.0809608540925267;19965.19882380786;0.001;
49;0.0809608540925267;20010.34753559429;0.001;
50;0.0809608540925267;20046.50039274215;0.001;
51;0.08066429418742586;20082.07665984539;0.001;
52;0.08066429418742586;20112.148197518545;0.001;
53;0.07977461447212338;20123.817857517774;0.001;
54;0.0791814946619217;20137.118397451824;0.001;
55;0.07829181494661921;20152.599666806436;0.001;
56;0.07829181494661921;20175.069522374128;0.001;
57;0.07829181494661921;20190.062266006516;0.001;
58;0.07651245551601424;20219.89381363369;0.001;
59;0.07473309608540925;20233.95888829288;0.001;
60;0.07443653618030842;20282.76657984496;0.001;
61;0.07443653618030842;20302.920831453772;0.001;
62;0.07443653618030842;20309.49507152616;0.001;
63;0.07443653618030842;20328.016421163036;0.001;
64;0.07354685646500593;20353.11600628015;0.001;
65;0.0732502965599051;20376.12884067292;0.001;
66;0.07473309608540925;20344.58831787153;0.001;
67;0.07443653618030842;20368.78674135403;0.001;
68;0.07354685646500593;20375.750069495;0.001;
69;0.07354685646500593;20393.454760790144;0.001;
70;0.07028469750889679;20442.21299561065;0.001;
71;0.0711743772241993;20469.558717826687;0.001;
72;0.06909845788849348;20511.583377940995;0.001;
73;0.06820877817319099;20568.164539250523;0.001;
74;0.06850533807829182;20619.528872082556;0.001;
75;0.06880189798339265;20654.074247382556;0.001;
76;0.06969157769869513;20664.58479687883;0.001;
77;0.06613285883748517;20713.978872073047;0.001;
78;0.06583629893238434;20802.189881147835;0.001;
79;0.06583629893238434;20831.544240597963;0.001;
80;0.06376037959667853;20861.708156192057;0.001;
81;0.06376037959667853;20894.255976531418;0.001;
82;0.0634638196915777;20903.517449370807;0.001;
83;0.06435349940688019;20936.18898021325;0.001;
84;0.06257413997627521;20959.424151011994;0.001;
85;0.06316725978647687;20965.887205912433;0.001;
86;0.06257413997627521;20975.391506280004;0.001;
87;0.06227758007117438;20996.55168781704;0.001;
88;0.06257413997627521;21016.349744711224;0.001;
89;0.06168446026097272;21028.830557855214;0.001;
90;0.06109134045077105;21038.622215995467;0.001;
91;0.06198102016607355;21052.866839473627;0.001;
92;0.06168446026097272;21056.009582449235;0.001;
93;0.06227758007117438;21054.04442094811;0.001;
94;0.06109134045077105;21059.248059793954;0.001;
95;0.06109134045077105;21077.94336989566;0.001;
96;0.06138790035587188;21073.859095578955;0.001;
97;0.060794780545670224;21101.436456968902;0.001;
98;0.060794780545670224;21119.83899144205;0.001;
99;0.059608540925266906;21132.609530030364;0.001;
100;0.060201660735468565;21138.08531816822;0.001;
101;0.05931198102016608;21131.220002645896;0.001;
102;0.05901542111506524;21120.66184803552;0.001;
103;0.05812574139976275;21115.521084003925;0.001;
104;0.05812574139976275;21119.773284733215;0.001;
105;0.057236061684460264;21128.325112612678;0.001;
106;0.05693950177935943;21120.747735564535;0.001;
107;0.05693950177935943;21124.14123715073;0.001;
108;0.05634638196915777;21121.032141615437;0.001;
109;0.05693950177935943;21121.974569307087;0.001;
110;0.05634638196915777;21139.788978121553;0.001;
111;0.05693950177935943;21155.877793725347;0.001;
112;0.05693950177935943;21179.89371935265;0.001;
113;0.05634638196915777;21203.015818332704;0.001;
114;0.05634638196915777;21223.045820462517;0.001;
115;0.05604982206405694;21237.968977306642;0.001;
116;0.05693950177935943;21249.39890468107;0.001;
117;0.0566429418742586;21258.038850056706;0.001;
118;0.057236061684460264;21264.513923374212;0.001;
119;0.057236061684460264;21269.91133269657;0.001;
120;0.05753262158956109;21274.686356370068;0.001;
121;0.05753262158956109;21278.7124338438;0.001;
122;0.05753262158956109;21282.672854003253;0.001;
123;0.05782918149466192;21288.36823794297;0.001;
124;0.05782918149466192;21295.562277943423;0.001;
125;0.05782918149466192;21301.2426877659;0.001;
126;0.05782918149466192;21304.57313534608;0.001;
127;0.05782918149466192;21307.866353671252;0.001;
128;0.05753262158956109;21312.34825392931;0.001;
129;0.05575326215895611;21317.74317198232;0.001;
130;0.05604982206405694;21323.507470408094;0.001;
131;0.05634638196915777;21329.52209362822;0.001;
132;0.05604982206405694;21336.12765542928;0.001;
133;0.05604982206405694;21343.47829122065;0.001;
134;0.05545670225385528;21351.119175482258;0.001;
135;0.05575326215895611;21359.15886822058;0.001;
136;0.05575326215895611;21369.725259477527;0.001;
137;0.05545670225385528;21380.594629010506;0.001;
138;0.05575326215895611;21392.721169289976;0.001;
139;0.05575326215895611;21409.820359061512;0.001;
140;0.05516014234875445;21418.262114139925;0.001;
141;0.05516014234875445;21428.614394294484;0.001;
142;0.054863582443653615;21438.490053811292;0.001;
143;0.05575326215895611;21445.070682813282;0.001;
144;0.05545670225385528;21449.876388023804;0.001;
145;0.05545670225385528;21454.398022667403;0.001;
146;0.05545670225385528;21459.331261598025;0.001;
147;0.05516014234875445;21459.496560160915;0.001;
148;0.05545670225385528;21464.091385039035;0.001;
149;0.0536773428232503;21470.203451559588;0.001;
150;0.05397390272835113;21484.87291368623;0.001;
151;0.05397390272835113;21492.216692586895;0.001;
152;0.05308422301304864;21499.95667333844;0.001;
153;0.0527876631079478;21508.89273631284;0.001;
154;0.0527876631079478;21517.59681530627;0.001;
155;0.0527876631079478;21526.402899573655;0.001;
156;0.05249110320284697;21535.63996608112;0.001;
157;0.05249110320284697;21545.376979209697;0.001;
158;0.051304863582443655;21555.3957466667;0.001;
159;0.051304863582443655;21565.45352868803;0.001;
160;0.051008303677342826;21575.515490870603;0.001;
161;0.050711743772241996;21585.60397881323;0.001;
162;0.050711743772241996;21595.53233341556;0.001;
163;0.050711743772241996;21604.988420577363;0.001;
164;0.05011862396204033;21613.82687882619;0.001;
165;0.0498220640569395;21622.14026463452;0.001;
166;0.05041518386714116;21630.083073603175;0.001;
167;0.05041518386714116;21637.752266612246;0.001;
168;0.0498220640569395;21645.212821213117;0.001;
169;0.0498220640569395;21652.46508906035;0.001;
170;0.04952550415183867;21659.3487038696;0.001;
171;0.04952550415183867;21665.82594580739;0.001;
172;0.04952550415183867;21672.2622472262;0.001;
173;0.04833926453143535;21678.854705129062;0.001;
174;0.04804270462633452;21685.363970159568;0.001;
175;0.04804270462633452;21691.737144571794;0.001;
176;0.04774614472123369;21698.875568552972;0.001;
177;0.04774614472123369;21706.303571670607;0.001;
178;0.04774614472123369;21713.54893962122;0.001;
179;0.04774614472123369;21720.794744016595;0.001;
180;0.04774614472123369;21728.428178181344;0.001;
181;0.04774614472123369;21736.751332991946;0.001;
182;0.04744958481613286;21745.489260225462;0.001;
183;0.04774614472123369;21754.13408831887;0.001;
184;0.04715302491103203;21763.062535897185;0.001;
185;0.04655990510083037;21772.351753416504;0.001;
186;0.045670225385527875;21780.963297361;0.001;
187;0.045670225385527875;21788.477627514963;0.001;
188;0.045373665480427046;21794.92663614494;0.001;
189;0.045373665480427046;21800.605457932772;0.001;
190;0.045670225385527875;21805.96360922334;0.001;
191;0.045966785290628705;21811.457482568563;0.001;
192;0.045670225385527875;21817.406598197773;0.001;
193;0.045670225385527875;21823.736163505408;0.001;
194;0.045670225385527875;21829.949423647722;0.001;
195;0.045966785290628705;21835.538591617464;0.001;
196;0.045966785290628705;21840.202863303835;0.001;
197;0.045077105575326216;21843.76947011545;0.001;
198;0.045077105575326216;21845.91442445871;0.001;
199;0.045077105575326216;21845.40707770526;0.001;
200;0.045670225385527875;21838.547285542547;0.001;
201;0.0468564650059312;21827.749106411808;0.001;
202;0.04655990510083037;21823.66602941034;0.001;
203;0.046263345195729534;21821.639502284033;0.001;
204;0.045670225385527875;21807.404428674203;0.001;
205;0.045077105575326216;21816.08991500104;0.001;
206;0.045966785290628705;21805.20746486917;0.001;
207;0.04478054567022539;21852.312126398145;0.001;
208;0.04418742586002373;21880.489336709084;0.001;
209;0.04389086595492289;21896.276751477377;0.001;
210;0.04389086595492289;21904.658360417016;0.001;
