epocaAtual;taxaErros;erroQuadrado;taxaAprendizadoAtual;idRede
1;0.7301304863582444;13776.638303929123;0.001;
2;0.6702253855278766;13741.611592802017;0.001;
3;0.6405693950177936;14030.828765987213;0.001;
4;0.6215895610913404;14371.013912190676;0.001;
5;0.6011269276393831;14566.751887084905;0.001;
6;0.5782918149466192;14708.32291624559;0.001;
7;0.5643534994068802;14938.70837486606;0.001;
8;0.5542704626334519;15053.03843600946;0.001;
9;0.5468564650059312;15159.649480332126;0.001;
10;0.541814946619217;15230.088688664213;0.001;
11;0.5341043890865955;15247.871681482577;0.001;
12;0.5258007117437722;15370.268220490327;0.001;
13;0.5145314353499407;15486.1798927707;0.001;
14;0.4893238434163701;15472.550035143182;0.001;
15;0.4795373665480427;15538.807901994405;0.001;
16;0.47686832740213525;15572.566396014381;0.001;
17;0.4653024911032028;15699.228103274394;0.001;
18;0.46174377224199287;15762.913417976462;0.001;
19;0.4596678529062871;15770.470249295506;0.001;
20;0.45670225385527874;15840.399563821973;0.001;
21;0.4552194543297746;15869.291108580446;0.001;
22;0.45047449584816135;15958.830031057534;0.001;
23;0.45077105575326215;16009.5576741773;0.001;
24;0.45077105575326215;16039.545730501373;0.001;
25;0.44068801897983395;16126.81891782468;0.001;
26;0.4374258600237248;16208.183454096798;0.001;
27;0.4347568208778173;16271.33259022822;0.001;
28;0.4309015421115065;16320.261758503359;0.001;
29;0.42556346381969157;16412.933882706937;0.001;
30;0.4261565836298932;16447.92953260154;0.001;
31;0.4279359430604982;16468.26521607596;0.001;
32;0.40183867141162516;16494.87604961686;0.001;
33;0.3899762752075919;16587.270513362026;0.001;
34;0.3837485172004745;16701.258407658483;0.001;
35;0.3650652431791222;16867.2648922739;0.001;
36;0.3816725978647687;16847.039527748442;0.001;
37;0.3564650059311981;16887.196429336956;0.001;
38;0.3330367734282325;17007.82463111225;0.001;
39;0.3306642941874259;17081.800610663537;0.001;
40;0.3309608540925267;17096.08066314119;0.001;
41;0.32443653618030843;17118.588415744198;0.001;
42;0.3122775800711744;17127.98016882003;0.001;
43;0.3001186239620403;17204.04650179952;0.001;
44;0.2959667852906287;17250.255722595637;0.001;
45;0.2876631079478055;17319.720740209177;0.001;
46;0.2802491103202847;17409.658355813204;0.001;
47;0.27313167259786475;17510.69798580138;0.001;
48;0.26601423487544484;17606.760639900833;0.001;
49;0.25622775800711745;17695.80346492259;0.001;
50;0.24555160142348753;17663.502471392192;0.001;
51;0.2431791221826809;17700.467803179068;0.001;
52;0.23695136417556345;17773.956700118117;0.001;
53;0.2188612099644128;17781.15766865198;0.001;
54;0.2244958481613286;18065.561193972175;0.001;
55;0.2138196915776987;18138.855281690143;0.001;
56;0.19009489916963226;17863.564535454494;0.001;
57;0.18564650059311982;17990.630471508895;0.001;
58;0.17912218268090155;18230.42149626102;0.001;
59;0.1776393831553974;18399.952274181298;0.001;
60;0.17348754448398576;18368.652910910365;0.001;
61;0.17259786476868327;18504.567476102584;0.001;
62;0.1699288256227758;18621.67714404994;0.001;
63;0.1494661921708185;18757.714501218004;0.001;
64;0.14709371293001186;18837.146282078003;0.001;
65;0.14768683274021352;18906.89929167408;0.001;
66;0.1473902728351127;18991.87141962989;0.001;
67;0.14590747330960854;19051.131686036733;0.001;
68;0.14531435349940688;19087.72404593182;0.001;
69;0.14501779359430605;19158.636055616324;0.001;
70;0.14383155397390274;19224.533595683355;0.001;
71;0.1423487544483986;19238.09866395316;0.001;
72;0.1423487544483986;19291.63198721957;0.001;
73;0.14086595492289442;19345.894649208578;0.001;
74;0.14086595492289442;19394.955664813097;0.001;
75;0.14116251482799524;19434.59014103448;0.001;
76;0.14086595492289442;19472.11853954848;0.001;
77;0.14027283511269276;19508.06330271581;0.001;
78;0.1396797153024911;19543.323128756314;0.001;
79;0.1396797153024911;19578.613078346258;0.001;
80;0.13938315539739027;19614.087552222994;0.001;
81;0.13938315539739027;19649.354766384913;0.001;
82;0.13938315539739027;19683.53024059507;0.001;
83;0.13938315539739027;19716.133235690613;0.001;
84;0.13938315539739027;19747.02651009491;0.001;
85;0.13938315539739027;19776.001393191276;0.001;
86;0.13938315539739027;19802.968072715703;0.001;
87;0.1396797153024911;19828.239873181803;0.001;
88;0.1396797153024911;19852.862432206948;0.001;
89;0.1396797153024911;19877.278983671873;0.001;
90;0.13997627520759193;19903.1563118775;0.001;
91;0.13997627520759193;19930.35133082311;0.001;
92;0.14027283511269276;19957.606080157355;0.001;
93;0.14086595492289442;19984.598914113594;0.001;
94;0.14027283511269276;20011.393573305057;0.001;
95;0.14056939501779359;20037.854789553545;0.001;
96;0.13849347568208778;20086.94189927372;0.001;
97;0.13849347568208778;20107.980147931394;0.001;
98;0.13819691577698695;20133.209018004116;0.001;
99;0.1376037959667853;20170.02762036391;0.001;
100;0.13701067615658363;20187.623069424237;0.001;
101;0.13819691577698695;20229.39717418195;0.001;
102;0.1367141162514828;20260.18845989183;0.001;
103;0.13701067615658363;20262.482979367374;0.001;
104;0.13701067615658363;20263.19463979321;0.001;
105;0.13552787663107949;20274.913527946836;0.001;
106;0.13552787663107949;20297.075801737567;0.001;
107;0.13582443653618032;20299.201163166934;0.001;
108;0.13523131672597866;20314.030224322403;0.001;
109;0.13404507710557534;20331.98596227281;0.001;
110;0.132858837485172;20338.70770641129;0.001;
111;0.13256227758007116;20351.031749889706;0.001;
112;0.132858837485172;20362.342780414267;0.001;
113;0.13226571767497033;20382.33569052294;0.001;
114;0.1319691577698695;20384.860821956823;0.001;
115;0.13107947805456702;20410.12739090313;0.001;
116;0.13107947805456702;20415.52282307099;0.001;
117;0.1307829181494662;20423.741426914155;0.001;
118;0.13048635824436536;20431.321139867807;0.001;
119;0.13048635824436536;20440.91792635756;0.001;
120;0.13048635824436536;20450.33257948697;0.001;
121;0.13167259786476868;20462.94064902578;0.001;
122;0.13018979833926453;20477.654951113956;0.001;
123;0.1307829181494662;20490.844104390122;0.001;
124;0.1298932384341637;20508.85505234583;0.001;
125;0.12930011862396204;20532.250889058865;0.001;
126;0.13018979833926453;20570.73357853958;0.001;
127;0.12930011862396204;20569.65055384026;0.001;
128;0.12841043890865955;20562.11342135566;0.001;
129;0.1269276393831554;20569.04481079666;0.001;
130;0.12663107947805458;20575.775404570268;0.001;
131;0.12663107947805458;20600.86496258878;0.001;
132;0.12811387900355872;20624.74787865368;0.001;
133;0.12841043890865955;20618.488588678232;0.001;
134;0.12811387900355872;20630.143897615035;0.001;
135;0.12722419928825623;20642.816091936093;0.001;
136;0.12663107947805458;20664.44016343509;0.001;
137;0.12663107947805458;20651.68142216918;0.001;
138;0.12663107947805458;20659.76069417807;0.001;
139;0.12752075919335706;20671.343989285233;0.001;
140;0.1269276393831554;20675.686208237617;0.001;
141;0.12633451957295375;20692.20299479485;0.001;
142;0.12514827995255043;20703.42169305458;0.001;
143;0.12485172004744959;20716.59514979115;0.001;
144;0.12485172004744959;20735.461063750998;0.001;
145;0.12455516014234876;20753.548616097793;0.001;
146;0.12366548042704627;20760.82472301959;0.001;
147;0.12307236061684461;20774.554741537853;0.001;
148;0.12307236061684461;20785.43977324049;0.001;
149;0.12307236061684461;20796.231931397302;0.001;
150;0.12247924080664294;20799.7156021399;0.001;
151;0.12188612099644128;20811.854676930474;0.001;
152;0.12158956109134045;20821.641258915486;0.001;
153;0.12158956109134045;20826.323252455306;0.001;
154;0.12158956109134045;20832.45705101461;0.001;
155;0.12069988137603796;20837.44270620137;0.001;
156;0.1201067615658363;20841.037853722613;0.001;
157;0.11921708185053381;20846.286428933563;0.001;
158;0.11951364175563464;20853.594672278083;0.001;
159;0.1201067615658363;20859.988264599262;0.001;
160;0.1201067615658363;20870.181794508226;0.001;
161;0.11921708185053381;20882.14853481603;0.001;
162;0.11803084223013048;20895.981375696283;0.001;
163;0.11803084223013048;20903.84900884429;0.001;
164;0.11803084223013048;20911.18913670874;0.001;
165;0.11714116251482799;20918.065649177915;0.001;
166;0.11714116251482799;20923.58986372875;0.001;
167;0.11684460260972716;20929.239605850806;0.001;
168;0.11654804270462633;20937.162389657617;0.001;
169;0.1162514827995255;20942.229948313514;0.001;
170;0.11565836298932385;20951.649950441308;0.001;
171;0.11536180308422302;20959.082981554242;0.001;
172;0.11476868327402136;20967.474689232604;0.001;
173;0.11506524317912219;20978.362107818557;0.001;
174;0.11447212336892053;20987.29069114658;0.001;
175;0.11358244365361803;20993.701803581334;0.001;
176;0.11298932384341637;20997.805548960285;0.001;
177;0.10824436536180308;20998.457071391138;0.001;
