Linhas representam a realidade, enquanto colunas mostram as respostas da rede.
		0	1	2	3	4	5	6	7	8	9
	0	22.0	10.0	0.0	0.0	0.0	32.0	11.0	11.0	0.0	23.0
	1	10.0	22.0	0.0	0.0	0.0	28.0	11.0	11.0	0.0	23.0
	2	21.0	11.0	0.0	0.0	0.0	32.0	11.0	10.0	0.0	22.0
	3	22.0	11.0	0.0	0.0	0.0	33.0	10.0	11.0	0.0	22.0
	4	10.0	11.0	1.0	0.0	31.0	11.0	10.0	9.0	0.0	21.0
	5	22.0	11.0	0.0	0.0	0.0	33.0	11.0	11.0	0.0	22.0
	6	20.0	0.0	1.0	0.0	0.0	21.0	43.0	10.0	0.0	11.0
	7	22.0	11.0	0.0	0.0	0.0	31.0	0.0	21.0	0.0	22.0
	8	21.0	11.0	0.0	0.0	0.0	32.0	10.0	11.0	0.0	21.0
	9	21.0	11.0	0.0	0.0	0.0	29.0	10.0	11.0	0.0	23.0
