Linhas representam a realidade, enquanto colunas mostram as respostas da rede.
		0	1	2	3	4	5	6	7	8	9
	0	89.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	11.0	0.0
	1	1.0	66.0	0.0	0.0	0.0	0.0	0.0	3.0	28.0	0.0
	2	10.0	10.0	38.0	0.0	0.0	10.0	0.0	0.0	31.0	2.0
	3	1.0	0.0	0.0	48.0	0.0	11.0	0.0	0.0	27.0	15.0
	4	0.0	0.0	0.0	0.0	86.0	0.0	11.0	1.0	2.0	0.0
	5	10.0	0.0	0.0	1.0	0.0	61.0	1.0	0.0	18.0	12.0
	6	0.0	0.0	0.0	0.0	1.0	0.0	104.0	0.0	0.0	0.0
	7	0.0	11.0	0.0	0.0	0.0	0.0	0.0	82.0	6.0	2.0
	8	8.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	4.0
	9	8.0	3.0	0.0	1.0	1.0	17.0	0.0	0.0	13.0	53.0
