epocaAtual;taxaErros;erroQuadrado;taxaAprendizadoAtual;idRede
1;0.85001485001485;12971.90926736181;0.001;
2;0.6940896940896941;11698.803836347692;0.001;
3;0.73002673002673;10311.418943011695;0.001;
4;0.6967626967626968;10369.606940713904;0.001;
5;0.5966735966735967;10918.023295734598;0.001;
6;0.5046035046035046;11476.094541303652;0.001;
7;0.4354024354024354;12062.866590786614;0.001;
8;0.41104841104841106;12649.596113368701;0.001;
9;0.4160974160974161;13177.844201407708;0.001;
10;0.4095634095634096;13585.437604025494;0.001;
11;0.3964953964953965;13993.259049663651;0.001;
12;0.3670923670923671;14463.560950406281;0.001;
13;0.3881793881793882;14936.350721164326;0.001;
14;0.3783783783783784;15384.740468677815;0.001;
15;0.373032373032373;15879.753323584584;0.001;
16;0.36828036828036825;16267.764888251098;0.001;
17;0.3641223641223641;16730.791903317888;0.001;
18;0.3596673596673597;16850.39648528413;0.001;
19;0.3575883575883576;16979.78724227162;0.001;
20;0.35075735075735076;17207.02561679732;0.001;
21;0.35016335016335015;17531.069820381897;0.001;
22;0.34184734184734183;17644.75767685831;0.001;
23;0.33412533412533413;17775.424092121757;0.001;
24;0.2839322839322839;17940.401367990828;0.001;
25;0.27116127116127114;18044.578592384776;0.001;
26;0.2667062667062667;18152.77108382303;0.001;
27;0.2667062667062667;18240.72317231814;0.001;
28;0.2622512622512623;18361.79167318543;0.001;
29;0.25393525393525396;18530.73240397667;0.001;
30;0.2521532521532521;18599.765525772058;0.001;
31;0.24443124443124442;18626.860336126545;0.001;
32;0.23284823284823286;18690.082898904428;0.001;
33;0.23076923076923078;18738.478939872533;0.001;
34;0.22453222453222454;18785.48274688189;0.001;
35;0.21948321948321947;18851.80976450922;0.001;
36;0.2188892188892189;18890.454242506145;0.001;
37;0.21294921294921296;18951.04229294692;0.001;
38;0.20908820908820908;19003.945993007015;0.001;
39;0.20255420255420256;19078.65375331288;0.001;
40;0.1966141966141966;19146.062370598585;0.001;
41;0.19631719631719632;19214.87976031438;0.001;
42;0.19483219483219483;19278.679100610334;0.001;
43;0.19275319275319275;19352.888623633597;0.001;
44;0.19097119097119097;19415.766115663402;0.001;
45;0.18829818829818828;19476.19374098193;0.001;
46;0.18592218592218593;19532.686006831616;0.001;
47;0.18592218592218593;19575.453748212247;0.001;
48;0.18354618354618354;19622.60622832596;0.001;
49;0.18117018117018116;19671.585273223838;0.001;
50;0.17998217998217997;19707.339751759355;0.001;
51;0.18027918027918027;19726.476468833695;0.001;
52;0.1793881793881794;19736.8973184998;0.001;
53;0.1773091773091773;19748.912268660304;0.001;
54;0.17641817641817642;19748.81459251639;0.001;
55;0.17523017523017523;19713.600748837816;0.001;
56;0.17226017226017226;19709.360459574073;0.001;
57;0.1704781704781705;19801.441528274543;0.001;
58;0.17255717255717257;19751.646334681325;0.001;
59;0.16869616869616869;19812.82287700257;0.001;
60;0.1678051678051678;19869.170195112536;0.001;
61;0.16602316602316602;19924.582634313992;0.001;
62;0.16335016335016336;19977.856988144893;0.001;
63;0.1591921591921592;20037.470710352314;0.001;
64;0.15592515592515593;20087.537932993655;0.001;
65;0.15473715473715474;20134.416081766467;0.001;
66;0.15236115236115236;20188.32789451922;0.001;
67;0.15354915354915355;20225.524776082682;0.001;
68;0.15414315414315413;20248.429868805608;0.001;
69;0.15325215325215324;20270.083331833353;0.001;
70;0.15147015147015147;20297.158129223302;0.001;
71;0.1490941490941491;20323.593536979442;0.001;
72;0.14671814671814673;20352.02323533897;0.001;
73;0.14196614196614196;20383.707349903445;0.001;
74;0.1381051381051381;20422.3420590267;0.001;
75;0.13572913572913572;20454.364054699137;0.001;
76;0.1297891297891298;20504.640222211565;0.001;
77;0.1288981288981289;20533.96856891717;0.001;
78;0.1274131274131274;20556.37544118135;0.001;
79;0.12533412533412533;20583.491205224604;0.001;
80;0.12622512622512622;20594.28134216952;0.001;
81;0.12592812592812594;20622.109683791597;0.001;
82;0.12444312444312444;20643.536094150335;0.001;
83;0.12622512622512622;20646.151593015613;0.001;
84;0.12295812295812296;20680.877656868044;0.001;
85;0.12295812295812296;20684.42809259918;0.001;
86;0.12652212652212652;20668.84160188261;0.001;
87;0.12681912681912683;20705.916550365462;0.001;
88;0.1297891297891298;20690.65447042738;0.001;
89;0.13246213246213245;20663.47253915184;0.001;
90;0.13127413127413126;20697.350596838492;0.001;
91;0.13127413127413126;20708.791845718795;0.001;
92;0.13275913275913276;20716.60810742508;0.001;
93;0.13246213246213245;20733.56633617441;0.001;
94;0.13216513216513218;20752.466256595093;0.001;
95;0.13068013068013068;20774.800574945162;0.001;
96;0.13038313038313037;20788.63602407208;0.001;
97;0.1294921294921295;20787.76568339433;0.001;
98;0.13186813186813187;20769.77823227451;0.001;
99;0.13275913275913276;20760.20399600577;0.001;
100;0.12563112563112563;20825.031767194294;0.001;
101;0.1283041283041283;20799.707110911593;0.001;
102;0.12474012474012475;20833.162723207297;0.001;
103;0.12177012177012177;20874.031110813434;0.001;
104;0.12206712206712207;20866.581405913927;0.001;
105;0.11761211761211761;20926.894704016773;0.001;
106;0.11909711909711909;20905.09410752796;0.001;
107;0.1182061182061182;20915.069679643748;0.001;
108;0.11761211761211761;20943.095086624682;0.001;
109;0.11731511731511732;20965.64143283632;0.001;
110;0.11731511731511732;20995.940985371286;0.001;
111;0.11731511731511732;21023.841128531254;0.001;
112;0.11553311553311553;21046.75374858291;0.001;
113;0.11434511434511435;21062.68716848984;0.001;
114;0.11315711315711316;21075.438557972077;0.001;
115;0.11375111375111376;21085.196140163353;0.001;
116;0.11315711315711316;21090.431487183945;0.001;
117;0.11286011286011285;21099.772243367723;0.001;
118;0.11256311256311256;21113.22621270478;0.001;
119;0.11196911196911197;21109.355893642223;0.001;
120;0.11226611226611227;21083.91130535136;0.001;
121;0.11345411345411345;21098.847030183646;0.001;
122;0.11256311256311256;21144.744775421477;0.001;
123;0.11137511137511137;21161.411023637796;0.001;
124;0.11107811107811108;21179.616591071423;0.001;
125;0.11048411048411048;21196.127859401062;0.001;
126;0.108999108999109;21210.888073451693;0.001;
127;0.10810810810810811;21224.78363723664;0.001;
128;0.1084051084051084;21234.589358482666;0.001;
129;0.10781110781110781;21240.86106598222;0.001;
130;0.10692010692010692;21247.405920971963;0.001;
131;0.10692010692010692;21257.701439675533;0.001;
132;0.10692010692010692;21264.29938644911;0.001;
133;0.10692010692010692;21273.864263394982;0.001;
134;0.10602910602910603;21284.089237909306;0.001;
135;0.10484110484110484;21292.97663036633;0.001;
136;0.10395010395010396;21300.77048897945;0.001;
137;0.10395010395010396;21307.846785239704;0.001;
138;0.10365310365310365;21314.535836880346;0.001;
139;0.10365310365310365;21320.63269013656;0.001;
140;0.10305910305910305;21325.910172120348;0.001;
141;0.10305910305910305;21331.717846412623;0.001;
142;0.10246510246510246;21339.432021899946;0.001;
143;0.10246510246510246;21348.644907825266;0.001;
144;0.10187110187110188;21359.944936251475;0.001;
145;0.10098010098010098;21373.18252656385;0.001;
146;0.0997920997920998;21386.622545860744;0.001;
147;0.0991980991980992;21399.512420253326;0.001;
148;0.09771309771309772;21411.93263600778;0.001;
149;0.09741609741609741;21424.036937702378;0.001;
150;0.09682209682209682;21435.83633584193;0.001;
151;0.09652509652509653;21446.86436334966;0.001;
152;0.09593109593109593;21455.025490719654;0.001;
153;0.09533709533709533;21464.67163191422;0.001;
154;0.09533709533709533;21473.864594111616;0.001;
155;0.0986040986040986;21469.250021606196;0.001;
156;0.10038610038610038;21460.831634121532;0.001;
157;0.10068310068310068;21466.530275082583;0.001;
158;0.10216810216810217;21468.44111152108;0.001;
159;0.10276210276210276;21468.516378904988;0.001;
160;0.10246510246510246;21475.80854916581;0.001;
161;0.10008910008910009;21483.446476324913;0.001;
162;0.09266409266409266;21525.8241634212;0.001;
163;0.09652509652509653;21519.04824969837;0.001;
164;0.09385209385209385;21532.39179332232;0.001;
165;0.09296109296109296;21533.05213324502;0.001;
166;0.09444609444609445;21528.087762188246;0.001;
167;0.09444609444609445;21530.67324293305;0.001;
168;0.09504009504009504;21540.795849100625;0.001;
169;0.09147609147609148;21567.874708077765;0.001;
170;0.09385209385209385;21565.91283931154;0.001;
171;0.09058509058509058;21588.89696313383;0.001;
172;0.09088209088209089;21602.963971655237;0.001;
173;0.0896940896940897;21616.535801867623;0.001;
174;0.09207009207009206;21625.973319834167;0.001;
175;0.08761508761508761;21646.246044690306;0.001;
176;0.0891000891000891;21643.561540809133;0.001;
177;0.09207009207009206;21636.69234570664;0.001;
178;0.09088209088209089;21644.863346124537;0.001;
179;0.08672408672408673;21664.851255827256;0.001;
180;0.08702108702108702;21670.47416168027;0.001;
181;0.08702108702108702;21674.910842750443;0.001;
182;0.0891000891000891;21676.804592890552;0.001;
183;0.08999108999108998;21680.970268524332;0.001;
184;0.08999108999108998;21686.456511033248;0.001;
185;0.09028809028809029;21694.4815367486;0.001;
186;0.08999108999108998;21707.74645708458;0.001;
187;0.08999108999108998;21714.807236522716;0.001;
188;0.08999108999108998;21723.83355066928;0.001;
189;0.0888030888030888;21735.362881607005;0.001;
190;0.08820908820908821;21745.241058446823;0.001;
191;0.08791208791208792;21752.62070050363;0.001;
192;0.0885060885060885;21755.738242531526;0.001;
193;0.0885060885060885;21759.034324759537;0.001;
194;0.08791208791208792;21767.727531016608;0.001;
195;0.08702108702108702;21784.017772420135;0.001;
196;0.08494208494208494;21806.24850331866;0.001;
197;0.08078408078408078;21820.170045584684;0.001;
198;0.0781110781110781;21833.409066900495;0.001;
199;0.07781407781407781;21843.66006234823;0.001;
200;0.07751707751707752;21853.61320674631;0.001;
201;0.07751707751707752;21861.751662678278;0.001;
202;0.07722007722007722;21867.78718563582;0.001;
203;0.07632907632907633;21870.317826091796;0.001;
204;0.07603207603207603;21873.629664707652;0.001;
205;0.07573507573507574;21876.252340329636;0.001;
206;0.07514107514107514;21883.377667302793;0.001;
207;0.07514107514107514;21886.795863413856;0.001;
208;0.07514107514107514;21892.18063020763;0.001;
209;0.07484407484407485;21896.577070825013;0.001;
210;0.07514107514107514;21901.526394568096;0.001;
211;0.07573507573507574;21906.09146951529;0.001;
212;0.07543807543807544;21910.458837051032;0.001;
213;0.07603207603207603;21914.617164356387;0.001;
214;0.07603207603207603;21919.26115521203;0.001;
215;0.07603207603207603;21925.220019835542;0.001;
216;0.07662607662607662;21933.10822469317;0.001;
217;0.07603207603207603;21940.827792919146;0.001;
218;0.07395307395307395;21941.96386839773;0.001;
219;0.07365607365607366;21940.197181174986;0.001;
220;0.07425007425007425;21943.106747012866;0.001;
221;0.07425007425007425;21946.624900278854;0.001;
222;0.07454707454707454;21952.511367413354;0.001;
223;0.07454707454707454;21957.12257425881;0.001;
224;0.07514107514107514;21962.512424200126;0.001;
225;0.07543807543807544;21966.99171406296;0.001;
226;0.07573507573507574;21974.06538425793;0.001;
227;0.07514107514107514;21982.83510724;0.001;
228;0.07632907632907633;21987.984946116634;0.001;
229;0.07662607662607662;21990.102538624906;0.001;
230;0.07603207603207603;21998.24958518057;0.001;
231;0.07662607662607662;22001.823005601782;0.001;
232;0.07662607662607662;22003.518589065126;0.001;
233;0.07632907632907633;22007.189251387645;0.001;
234;0.07603207603207603;22012.546893319504;0.001;
235;0.07840807840807841;22012.508174291703;0.001;
236;0.07781407781407781;22016.701976963464;0.001;
237;0.08108108108108109;22016.579542416515;0.001;
238;0.07632907632907633;22037.819109801927;0.001;
239;0.0798930798930799;22033.46472368374;0.001;
240;0.07632907632907633;22048.1529970087;0.001;
241;0.08019008019008018;22045.508061504614;0.001;
242;0.08048708048708049;22045.484793243737;0.001;
243;0.08019008019008018;22049.57791322103;0.001;
244;0.0798930798930799;22049.125021917902;0.001;
245;0.0787050787050787;22050.72215753839;0.001;
246;0.07840807840807841;22051.922355947514;0.001;
247;0.07632907632907633;22066.825679730333;0.001;
248;0.07514107514107514;22084.11407159906;0.001;
249;0.07395307395307395;22090.56856878556;0.001;
250;0.07395307395307395;22094.84826297245;0.001;
251;0.07306207306207306;22104.297771329373;0.001;
252;0.07335907335907337;22114.801617604502;0.001;
253;0.07365607365607366;22121.79756156795;0.001;
254;0.07454707454707454;22125.542933742807;0.001;
255;0.07514107514107514;22128.873842183704;0.001;
256;0.07662607662607662;22134.874280915414;0.001;
257;0.07722007722007722;22142.298457310273;0.001;
258;0.07781407781407781;22146.954165556977;0.001;
259;0.0787050787050787;22153.08633610596;0.001;
260;0.08048708048708049;22149.26611261973;0.001;
261;0.08078408078408078;22154.76420147023;0.001;
262;0.08137808137808138;22154.180819968515;0.001;
263;0.0798930798930799;22164.625934480908;0.001;
