epocaAtual;taxaErros;erroQuadrado;taxaAprendizadoAtual;idRede
1;0.76;4344.371397822417;0.001;
2;0.6977777777777778;4261.578509766741;0.001;
3;0.6408888888888888;4268.210986513886;0.001;
4;0.5653333333333334;4307.347300578554;0.001;
5;0.496;4375.3404060787125;0.001;
6;0.4444444444444444;4462.180273371537;0.001;
7;0.4008888888888889;4552.975267313634;0.001;
8;0.37155555555555553;4642.936763198383;0.001;
9;0.3448888888888889;4731.541192940694;0.001;
10;0.3164444444444444;4819.037057854245;0.001;
11;0.296;4905.60856848802;0.001;
12;0.28;4991.5437521790245;0.001;
13;0.2613333333333333;5078.375293071839;0.001;
14;0.2222222222222222;5170.009369285059;0.001;
15;0.17955555555555555;5270.696424757967;0.001;
16;0.1511111111111111;5372.8982866098795;0.001;
17;0.128;5461.832774973936;0.001;
18;0.12088888888888889;5538.515433249695;0.001;
19;0.11022222222222222;5608.46695294645;0.001;
20;0.10933333333333334;5673.906379110584;0.001;
21;0.10133333333333333;5735.464538102238;0.001;
22;0.09422222222222222;5793.408315757581;0.001;
23;0.08977777777777778;5847.960980085438;0.001;
24;0.08622222222222223;5899.354065841223;0.001;
25;0.08177777777777778;5947.823202026888;0.001;
26;0.08088888888888889;5993.597810863652;0.001;
27;0.08;6036.893960000363;0.001;
28;0.07822222222222222;6077.910779604984;0.001;
29;0.07555555555555556;6116.829371175778;0.001;
30;0.07466666666666667;6153.813205934111;0.001;
31;0.07288888888888889;6189.009310825697;0.001;
32;0.06755555555555555;6222.549798089307;0.001;
33;0.06666666666666667;6254.5534761352155;0.001;
34;0.06577777777777778;6285.127398321315;0.001;
35;0.06133333333333333;6314.368280174133;0.001;
36;0.059555555555555556;6342.363759404329;0.001;
37;0.059555555555555556;6369.193497407962;0.001;
38;0.057777777777777775;6394.93013321939;0.001;
39;0.057777777777777775;6419.6401060098915;0.001;
40;0.05688888888888889;6443.384363370006;0.001;
41;0.056;6466.218971728205;0.001;
42;0.05333333333333334;6488.1956434943095;0.001;
43;0.051555555555555556;6509.362193510711;0.001;
44;0.051555555555555556;6529.762935471146;0.001;
45;0.051555555555555556;6549.43902726101;0.001;
46;0.050666666666666665;6568.428772726062;0.001;
47;0.049777777777777775;6586.76788616971;0.001;
48;0.04888888888888889;6604.489724886346;0.001;
49;0.048;6621.625494217092;0.001;
50;0.048;6638.204428934337;0.001;
