epocaAtual;desempenho;taxaAprendizadoAtual;idRede
100;0.09414909414909414;0.001;
200;0.0700920700920701;0.001;
300;0.07157707157707158;0.001;
400;0.0692010692010692;0.001;
500;0.06444906444906445;0.001;
600;0.062073062073062076;0.001;
700;0.058806058806058804;0.001;
800;0.060588060588060585;0.001;
900;0.0594000594000594;0.001;
1000;0.05732105732105732;0.001;
1100;0.05346005346005346;0.001;
1200;0.05553905553905554;0.001;
1300;0.05167805167805168;0.001;
1400;0.058212058212058215;0.001;
1500;0.05435105435105435;0.001;
1600;0.04841104841104841;0.001;
1700;0.0498960498960499;0.001;
1800;0.05316305316305316;0.001;
1900;0.047223047223047224;0.001;
2000;0.046926046926046926;0.001;
2100;0.0498960498960499;0.001;
2200;0.04603504603504603;0.001;
2300;0.0493020493020493;0.001;
2400;0.04336204336204336;0.001;
2500;0.04633204633204633;0.001;
2600;0.04247104247104247;0.001;
2700;0.047223047223047224;0.001;
2800;0.04068904068904069;0.001;
2900;0.0395010395010395;0.001;
