epocaAtual;desempenho;taxaAprendizadoAtual;idRede
100;0.09849157054125998;0.001;
200;0.09582963620230701;0.001;
300;0.09494232475598935;0.001;
400;0.09494232475598935;0.001;
500;0.08606921029281278;0.001;
600;0.0834072759538598;0.001;
700;0.0834072759538598;0.001;
800;0.08251996450754215;0.001;
900;0.07985803016858918;0.001;
1000;0.08606921029281278;0.001;
1100;0.0834072759538598;0.001;
1200;0.08163265306122448;0.001;
1300;0.08074534161490683;0.001;
1400;0.08518189884649512;0.001;
1500;0.08163265306122448;0.001;
1600;0.07985803016858918;0.001;
1700;0.08518189884649512;0.001;
1800;0.08251996450754215;0.001;
1900;0.08074534161490683;0.001;
2000;0.08251996450754215;0.001;
2100;0.0834072759538598;0.001;
2200;0.08163265306122448;0.001;
2300;0.08251996450754215;0.001;
2400;0.07985803016858918;0.001;
2500;0.08251996450754215;0.001;
2600;0.08251996450754215;0.001;
2700;0.08429458740017746;0.001;
2800;0.08429458740017746;0.001;
2900;0.08251996450754215;0.001;
0;0.9014209591474245;0.001;
